TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2024/11/23
TIME	02:53:02
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-760, Rev. 1.00
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  500.0000
LASTX	  250.0000
NPOINTS	     501
FIRSTY	     0.00323
MAXY	     1.25536
MINY	     0.00247
XYDATA
490.5	0.00325135	0.00283516	0.00273407	0.00277731	0.00273288	0.00265186	0.00268049	0.0025516	0.00253111	0.0025083	0.00241327	0.00236118	0.00237448	0.00230148	0.00202832	0.00158921	0.00093597	-6.2002E-005	-0.00077422	-0.00132482	-0.00173549	-0.00200942	-0.00227492	-0.00245245	-0.002692	-0.0027587	-0.00304992	-0.00318267	-0.00343273	-0.00353667	-0.00368694	-0.00390712	-0.00395149	-0.00418777	-0.00426219	-0.00438597	-0.0044977	-0.00461055	-0.00474288	-0.00472008	-0.00476848	-0.00474704	-0.00469929	-0.0045783	-0.00447513	-0.00430739
490	0.00325569	0.00283326	0.00278747	0.00278765	0.00273995	0.00264842	0.00269499	0.00257245	0.00256313	0.00249862	0.00244327	0.00238981	0.00232893	0.00229181	0.00208362	0.00164338	0.000941617	-3.93086E-005	-0.00077873	-0.00133836	-0.0017555	-0.00196249	-0.00229689	-0.00242667	-0.0027167	-0.00274533	-0.0029904	-0.00314447	-0.00342518	-0.00354462	-0.00372091	-0.00386382	-0.00399004	-0.00416329	-0.00422786	-0.00441644	-0.00452573	-0.00458334	-0.00473706	-0.00473647	-0.00480804	-0.00474929	-0.00467226	-0.00457028	-0.00444768	-0.00430846
489.5	0.00319394	0.00281357	0.0027752	0.00281749	0.0027082	0.00271057	0.0027158	0.00254872	0.00253233	0.0025366	0.00246301	0.00239726	0.00236138	0.00230323	0.00205407	0.00160224	0.000931959	-3.06726E-005	-0.000752334	-0.00128957	-0.00170202	-0.00199134	-0.00224579	-0.00240164	-0.00266465	-0.00276883	-0.00299614	-0.00313305	-0.00339789	-0.00346014	-0.00367919	-0.00385548	-0.00396524	-0.00410916	-0.00424405	-0.00434859	-0.00448086	-0.00455635	-0.00472349	-0.00469754	-0.00476626	-0.00471577	-0.00467497	-0.00457774	-0.00447516	-0.00425628
489	0.00321728	0.00276486	0.00280014	0.00278339	0.00273136	0.00270392	0.00270742	0.0025224	0.00251599	0.00249068	0.00243028	0.00240866	0.0023176	0.00225512	0.00205062	0.00160343	0.000922807	-4.99815E-005	-0.000783404	-0.00129991	-0.00175934	-0.0019285	-0.00229937	-0.00241632	-0.00267344	-0.00273456	-0.00297375	-0.00313709	-0.00343401	-0.00350837	-0.00373705	-0.00385056	-0.00398651	-0.00419796	-0.00422113	-0.0043926	-0.00449993	-0.00458035	-0.00476217	-0.00474078	-0.00476514	-0.00473758	-0.00470568	-0.00460352	-0.00448407	-0.00426544
488.5	0.00312581	0.0027512	0.00273872	0.00276991	0.00264446	0.00266317	0.00263258	0.00250268	0.0024756	0.00243373	0.00239494	0.00233768	0.00225566	0.00221485	0.00198909	0.00152081	0.000857652	-6.42935E-005	-0.000766295	-0.00131185	-0.0017711	-0.0019889	-0.00227329	-0.00243556	-0.00267415	-0.00283197	-0.00305376	-0.00321062	-0.00342569	-0.0034915	-0.00373526	-0.00393133	-0.00406337	-0.00417194	-0.00431236	-0.00438013	-0.00453854	-0.0046211	-0.00478966	-0.00479323	-0.00478313	-0.00475818	-0.00476745	-0.0046916	-0.00456111	-0.0043591
488	0.00308832	0.00270189	0.00269119	0.00270111	0.00261754	0.0026596	0.00265942	0.00244731	0.00245706	0.0023704	0.00232656	0.00233125	0.00221692	0.00216429	0.00198515	0.00154277	0.000866311	-9.85182E-005	-0.00084768	-0.00136395	-0.00182867	-0.00199509	-0.00229522	-0.00246379	-0.00273576	-0.00283644	-0.00305466	-0.00319293	-0.00346871	-0.00357028	-0.0037917	-0.00393776	-0.00402394	-0.0042228	-0.00429348	-0.00442819	-0.0045749	-0.00463554	-0.00483612	-0.00480007	-0.0048518	-0.00480405	-0.00482543	-0.00468763	-0.0045553	-0.00431231
487.5	0.00306516	0.00276218	0.00270724	0.00274192	0.00261006	0.002634	0.00262699	0.0024766	0.00250683	0.00242309	0.00239796	0.00230055	0.00219322	0.00216988	0.00197868	0.00154005	0.000833945	-8.14663E-005	-0.000778122	-0.00130324	-0.00176534	-0.0020198	-0.00228019	-0.00242511	-0.00271093	-0.00288044	-0.00305133	-0.00322987	-0.00341436	-0.00350161	-0.00372422	-0.00394898	-0.00404859	-0.00418324	-0.00431456	-0.0043872	-0.00454763	-0.00464189	-0.00476585	-0.00482091	-0.0048439	-0.00480826	-0.00480648	-0.00471596	-0.00456682	-0.00432424
487	0.00305309	0.00271358	0.00266624	0.00266392	0.00259574	0.00268204	0.00262187	0.00242242	0.00243139	0.00239807	0.00235287	0.0023126	0.00221638	0.00211178	0.00196905	0.00149857	0.000865056	-0.000100307	-0.000817218	-0.00135463	-0.00182582	-0.00198768	-0.00229113	-0.00249005	-0.00272739	-0.00286484	-0.00310438	-0.0032287	-0.00341835	-0.00358608	-0.00373142	-0.00392375	-0.00403048	-0.00422542	-0.00429242	-0.00442992	-0.0045616	-0.00465331	-0.00480857	-0.00484837	-0.00487551	-0.00483251	-0.00485151	-0.00466359	-0.00459071	-0.00428886
486.5	0.00308289	0.00277724	0.00272153	0.00271351	0.00262299	0.00269308	0.00262572	0.00250438	0.00249618	0.00243072	0.00238695	0.00228758	0.00219801	0.00218572	0.00196298	0.00151401	0.000847167	-5.41088E-005	-0.00075421	-0.00132287	-0.00177808	-0.00200657	-0.00230433	-0.00243138	-0.00267793	-0.00290423	-0.00305771	-0.00321754	-0.00336217	-0.00353584	-0.00372193	-0.00392572	-0.00406429	-0.00416788	-0.00425371	-0.0044253	-0.00451677	-0.00465089	-0.00473802	-0.0048602	-0.0048267	-0.00482195	-0.00477069	-0.00462232	-0.00458947	-0.00429457
486	0.00308993	0.00275476	0.0026899	0.00267077	0.0026324	0.0027405	0.00266554	0.00246277	0.00245089	0.00248908	0.00237474	0.00229705	0.00225827	0.00218972	0.00195071	0.00152728	0.000944604	-6.59006E-005	-0.000767665	-0.00132236	-0.0017711	-0.00198065	-0.00223463	-0.00245398	-0.00262753	-0.00286013	-0.00307247	-0.00318336	-0.0034014	-0.00356415	-0.00369268	-0.0038878	-0.00399572	-0.00418727	-0.00426419	-0.00437116	-0.00447398	-0.0046429	-0.00475914	-0.00481081	-0.00483006	-0.00479976	-0.00480368	-0.00454882	-0.00457697	-0.0042535
